Medien||||
||||
id|file_name|file_type|description|source
M-21|http://upload.wikimedia.org/wikipedia/commons/7/7c/%D0%9C%D0%B8%D1%82%D0%B8%D0%BD%D0%B3_%D0%BD%D0%B0_%D0%9D%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%BC_%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B5_%281917%29.jpg|WEBIMAGE||wikipedia
M-22|http://upload.wikimedia.org/wikipedia/commons/3/35/USA_bryter_de_diplomatiska_f%C3%B6rbindelserna_med_Tyskland_3_februari_1917.jpg|WEBIMAGE||wikipedia
M-23|http://upload.wikimedia.org/wikipedia/commons/7/70/Kustodiev_The_Bolshevik.jpg|WEBIMAGE||wikipedia
M-24|http://upload.wikimedia.org/wikipedia/commons/6/65/Wwilson.jpg|WEBIMAGE||wikipedia
M-25|http://upload.wikimedia.org/wikipedia/commons/a/a7/Traktat_brzeski_1918.jpg|WEBIMAGE||wikipedia
M-26|http://upload.wikimedia.org/wikipedia/commons/5/53/Bundesarchiv_Bild_146-1976-067-10A%2C_Matrosen-Aufstand.jpg|WEBIMAGE||wikipedia
M-27|http://upload.wikimedia.org/wikipedia/commons/c/cd/Waffenstillstand_gr.jpg|WEBIMAGE||wikipedia
M-28|http://upload.wikimedia.org/wikipedia/commons/f/fe/William_Orpen_-_The_Signing_of_Peace_in_the_Hall_of_Mirrors%2C_Versailles.jpg|WEBIMAGE||wikipedia
M-29|http://upload.wikimedia.org/wikipedia/commons/4/40/Weimar_Constitution.jpg|WEBIMAGE||wikipedia
M-30|http://upload.wikimedia.org/wikipedia/commons/2/27/Bundesarchiv_Bild_102-11045%2C_Genf%2C_Haus_des_V%C3%B6lkerbundrates.jpg|WEBIMAGE||wikipedia
M-31||WEBIMAGE||wikipedia
M-32||WEBIMAGE||wikipedia
M-33|http://upload.wikimedia.org/wikipedia/commons/2/2c/Bundesarchiv_Bild_183-R14433%2C_Vertrag_von_Rapallo.jpg|WEBIMAGE||wikipedia
M-34|http://upload.wikimedia.org/wikipedia/commons/9/90/Bundesarchiv_Bild_102-12841%2C_Charles_Gates_Dawes.jpg|WEBIMAGE||wikipedia
M-35|http://upload.wikimedia.org/wikipedia/commons/4/42/Bundesarchiv_Bild_183-R03618%2C_Locarno%2C_Gustav_Stresemann%2C_Chamberlain%2C_Briand.jpg|WEBIMAGE||wikipedia
M-36||WEBIMAGE||wikipedia
M-37|http://upload.wikimedia.org/wikipedia/commons/a/a2/FrankKellogg.jpg|WEBIMAGE||wikipedia
M-38|http://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_102-00660A%2C_Berlin%2C_Owen_Young_und_Rufus_Gutten_Dawes.jpg|WEBIMAGE||wikipedia
M-39|http://upload.wikimedia.org/wikipedia/commons/a/a4/1930-67B.png|WEBIMAGE||wikipedia
M-40|http://upload.wikimedia.org/wikipedia/commons/b/ba/HerbertHoover.jpg|WEBIMAGE||wikipedia
M-41|http://upload.wikimedia.org/wikipedia/commons/7/7b/Bundesarchiv_Bild_119-2406-01%2C_Berlin-Lustgarten%2C_Rede_Joseph_Goebbels.jpg|WEBIMAGE||wikipedia
M-42|http://upload.wikimedia.org/wikipedia/commons/9/90/Bundesarchiv_Bild_102-15347%2C_Berlin%2C_Ernennung_Adolf_Hitlers_zum_Reichskanzler.jpg|WEBIMAGE||wikipedia
M-43|http://upload.wikimedia.org/wikipedia/commons/e/e1/Bundesarchiv_Bild_183-B0527-0001-293%2C_Warschau%2C_Empfang_Goebbels_bei_Marschall_Pilsudski.jpg|WEBIMAGE||wikipedia
M-44||WEBIMAGE||wikipedia
M-45|http://upload.wikimedia.org/wikipedia/commons/b/ba/Occupation_of_the_Rhineland.png|WEBIMAGE||wikipedia
M-46|http://upload.wikimedia.org/wikipedia/commons/2/26/Bundesarchiv_Bild_183-1987-0922-500%2C_Wien%2C_Heldenplatz%2C_Rede_Adolf_Hitler.jpg|WEBIMAGE||wikipedia
M-47|http://upload.wikimedia.org/wikipedia/commons/9/9c/Bundesarchiv_Bild_183-R69173%2C_M%C3%BCnchener_Abkommen%2C_Staatschefs.jpg|WEBIMAGE||wikipedia
M-48|http://upload.wikimedia.org/wikipedia/commons/a/a1/Bundesarchiv_Bild_146-1970-041-46%2C_Berlin%2C_Synagoge_Fasanenstra%C3%9Fe.jpg|WEBIMAGE||wikipedia
M-49|http://upload.wikimedia.org/wikipedia/commons/7/72/Schleswig_Holstein_firing_Gdynia_13.09.1939.jpg|WEBIMAGE||wikipedia
M-50|http://upload.wikimedia.org/wikipedia/commons/5/53/Second_world_war_europe_1940_map_de.png|WEBIMAGE||wikipedia
M-51|http://upload.wikimedia.org/wikipedia/commons/0/0f/Ww2_map10.jpg|WEBIMAGE||wikipedia
M-52|http://upload.wikimedia.org/wikipedia/commons/7/73/1940FaguoLiuYue.png|WEBIMAGE||wikipedia
M-53|http://upload.wikimedia.org/wikipedia/commons/1/1b/Bundesarchiv_Bild_146-1982-089-18%2C_Waffenstillstand_von_Compi%C3%A8gne%2C_Unterh%C3%A4ndler.jpg|WEBIMAGE||wikipedia
M-54|http://upload.wikimedia.org/wikipedia/commons/6/60/Fall_Barbarossa_1.jpg|WEBIMAGE||wikipedia
M-55|http://upload.wikimedia.org/wikipedia/commons/7/70/Pearl_Harbor_1941_de.svg|WEBIMAGE||wikipedia
M-56|http://upload.wikimedia.org/wikipedia/commons/8/8d/President_Franklin_D._Roosevelt-1941.jpg|WEBIMAGE||wikipedia
M-57|http://upload.wikimedia.org/wikipedia/commons/7/7f/Haus_der_Wannsee-Konferenz_02-2014.jpg|WEBIMAGE||wikipedia
M-58|http://upload.wikimedia.org/wikipedia/commons/e/e3/Royal_Air_Force_Bomber_Command%2C_1942-1945._C2615.jpg|WEBIMAGE||wikipedia
M-59|http://upload.wikimedia.org/wikipedia/commons/5/52/Bundesarchiv_Bild_183-P0613-308%2C_Russland%2C_Kesselschlacht_Stalingrad.jpg|WEBIMAGE||wikipedia
M-60|http://upload.wikimedia.org/wikipedia/commons/d/d9/Casablanca-Conference.jpg|WEBIMAGE||wikipedia
M-61|http://upload.wikimedia.org/wikipedia/commons/d/d8/Tehran_Conference%2C_1943.jpg|WEBIMAGE||wikipedia
M-62|http://upload.wikimedia.org/wikipedia/commons/7/78/Invasion_Training_in_England_01.jpg|WEBIMAGE||wikipedia
