Medien|||||||
|||source information||||
id|file_name|file_type|name|author|source|link|last_access
M-87|http://upload.wikimedia.org/wikipedia/commons/1/15/Bundesarchiv_Bild_183-L0603-406%2C_Berlin-Kontrollratsgeb%C3%A4ude%2C_Vierm%C3%A4chteabkommen.jpg|WEBIMAGE|Berlin-Kontrollratsgebäude - Viermächteabkommen||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-L0603-406,_Berlin-Kontrollratsgeb%C3%A4ude,_Vierm%C3%A4chteabkommen.jpg|12.04.2015
M-88|http://upload.wikimedia.org/wikipedia/commons/b/be/Bundesarchiv_Bild_183-P0801-026%2C_Helsinki%2C_KSZE-Konferenz%2C_Schlussakte.jpg|WEBIMAGE|KSZE-Konferenz - Schlussakte||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-P0801-026,_Helsinki,_KSZE-Konferenz,_Schlussakte.jpg|12.04.2015
M-89|http://upload.wikimedia.org/wikipedia/commons/1/16/Bundesarchiv_Bild_183-P0730-033%2C_Helsinki%2C_KSZE-Konferenz%2C_Honecker%2C_Schmidt.jpg|WEBIMAGE|KSZE-Konferenz - Honecker und Schmidt||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-P0730-033,_Helsinki,_KSZE-Konferenz,_Honecker,_Schmidt.jpg|12.04.2015
M-90|http://upload.wikimedia.org/wikipedia/commons/0/06/Pershing_II_PC022206C.png|WEBIMAGE|Pershing II||wikipedia|http://commons.wikimedia.org/wiki/File:Pershing_II_PC022206C.png|12.04.2015
M-91|http://upload.wikimedia.org/wikipedia/commons/d/d8/Chernobylreactor_1.jpg|WEBIMAGE|Chernobylreactor 1||wikipedia|http://commons.wikimedia.org/wiki/File:Chernobylreactor_1.jpg|12.04.2015
M-92|http://upload.wikimedia.org/wikipedia/commons/5/52/Thefalloftheberlinwall1989.JPG|WEBIMAGE|Thefalloftheberlinwall||wikipedia|http://commons.wikimedia.org/wiki/File:Thefalloftheberlinwall1989.JPG|12.04.2015
M-93|http://upload.wikimedia.org/wikipedia/commons/1/13/EinigungsvertragBRD-DDR.JPG|WEBIMAGE|The fall of the berlin wall 1989||wikipedia|http://commons.wikimedia.org/wiki/File:EinigungsvertragBRD-DDR.JPG|12.04.2015
M-94|http://upload.wikimedia.org/wikipedia/commons/0/09/Bundesarchiv_B_145_Bild-F083821-0005%2C_Bonn%2C_Ausw%C3%A4rtiges_Amt%2C_2-4_Verhandlungen.jpg|WEBIMAGE|Auswärtiges Amt - Verhandlungen||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_B_145_Bild-F083821-0005,_Bonn,_Ausw%C3%A4rtiges_Amt,_2-4_Verhandlungen.jpg|12.04.2015
M-95|http://upload.wikimedia.org/wikipedia/commons/8/86/Bundesarchiv_Bild_183-1990-1003-400%2C_Berlin%2C_deutsche_Vereinigung%2C_vor_dem_Reichstag.jpg|WEBIMAGE|deutsche Vereinigung, vor dem Reichstag||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-1990-1003-400,_Berlin,_deutsche_Vereinigung,_vor_dem_Reichstag.jpg|12.04.2015
M-97|http://upload.wikimedia.org/wikipedia/commons/7/71/Boris_Yeltsin_19_August_1991-1.jpg|WEBIMAGE|Boris Yeltsin||wikipedia|http://commons.wikimedia.org/wiki/File:Boris_Yeltsin_19_August_1991-1.jpg|12.04.2015
M-98|http://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg|WEBIMAGE|Flag of the Soviet Union||wikipedia|http://commons.wikimedia.org/wiki/File:Flag_of_the_Soviet_Union.svg|12.04.2015
M-99|http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/The_Apollo_11_Prime_Crew_-_GPN-2000-001164.jpg/1280px-The_Apollo_11_Prime_Crew_-_GPN-2000-001164.jpg|WEBIMAGE|The Apollo 11 Prime Crew||wikipedia|http://commons.wikimedia.org/wiki/File:The_Apollo_11_Prime_Crew_-_GPN-2000-001164.jpg|12.04.2015
M-100|http://upload.wikimedia.org/wikipedia/de/4/45/Schloss_Cecilienhof.jpg|WEBIMAGE|Schloss Cecilienhof||wikipedia|http://de.wikipedia.org/wiki/Datei:Schloss_Cecilienhof.jpg|12.04.2015
M-101|http://upload.wikimedia.org/wikipedia/commons/8/82/Bundesarchiv_Bild_183-R67561%2C_Potsdamer_Konferenz%2C_Konferenztisch.jpg|WEBIMAGE|Potsdamer Konferenz - Konferenztisch||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-R67561,_Potsdamer_Konferenz,_Konferenztisch.jpg|12.04.2015
M-102|http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Bundesarchiv_Bild_183-29645-0001%2C_Potsdamer_Konferenz%2C_Stalin%2C_Truman%2C_Churchill.jpg/1280px-Bundesarchiv_Bild_183-29645-0001%2C_Potsdamer_Konferenz%2C_Stalin%2C_Truman%2C_Churchill.jpg|WEBIMAGE|Potsdamer Konferenz||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-29645-0001,_Potsdamer_Konferenz,_Stalin,_Truman,_Churchill.jpg|12.04.2015
M-103|http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Atomic_bomb_1945_mission_map.svg/800px-Atomic_bomb_1945_mission_map.svg.png|WEBIMAGE|Atomic bomb 1945 mission map||wikipedia|http://commons.wikimedia.org/wiki/File:Atomic_bomb_1945_mission_map.svg|12.04.2015
M-104|http://upload.wikimedia.org/wikipedia/commons/f/f0/Hiroshima_autograph_Tibbets.jpg|WEBIMAGE|Hiroshima autograph Tibbets||wikipedia|http://commons.wikimedia.org/wiki/File:Hiroshima_autograph_Tibbets.jpg|12.04.2015
M-105|http://upload.wikimedia.org/wikipedia/commons/1/1f/Victim_of_Atomic_Bomb_002.jpg|WEBIMAGE|Victim of Atomic Bomb 002|Masami Onuka|wikipedia|http://commons.wikimedia.org/wiki/File:Victim_of_Atomic_Bomb_002.jpg|12.04.2015
M-106|http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Douglas_MacArthur_signs_formal_surrender.jpg/1280px-Douglas_MacArthur_signs_formal_surrender.jpg|WEBIMAGE|Douglas MacArthur signs formal surrender|United States Navy|wikipedia|http://commons.wikimedia.org/wiki/File:Douglas_MacArthur_signs_formal_surrender.jpg|12.04.2015
M-107|http://upload.wikimedia.org/wikipedia/commons/b/b6/Harry_S._Truman_WW_I.jpg|WEBIMAGE|Harry S. Truman WW I||wikipedia|http://commons.wikimedia.org/wiki/File:Harry_S._Truman_WW_I.jpg|12.04.2015
M-108|http://upload.wikimedia.org/wikipedia/commons/5/5c/Marshallplanhilfe.gif|WEBIMAGE|Marshallplanhilfe||wikipedia|http://commons.wikimedia.org/wiki/File:Marshallplanhilfe.gif|12.04.2015
M-109|http://upload.wikimedia.org/wikipedia/commons/b/b3/Marshall_Plan_poster.JPG|WEBIMAGE|Marshall Plan poster|E. Spreckmeester|wikipedia|http://commons.wikimedia.org/wiki/File:Marshall_Plan_poster.JPG|12.04.2015
M-110|http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/History_of_NATO_enlargement.svg/733px-History_of_NATO_enlargement.svg.png|WEBIMAGE|History of NATO enlargement||wikipedia|http://commons.wikimedia.org/wiki/File:History_of_NATO_enlargement.svg|12.04.2015
M-111|http://upload.wikimedia.org/wikipedia/commons/a/a6/Bundesarchiv_Bild_183-S90339%2C_Berlin%2C_DDR-Gr%C3%BCndung%2C_Regierung_bei_Tschuikow.jpg|WEBIMAGE|DDR-Gründung - Regierung bei Tschuikow||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-S90339,_Berlin,_DDR-Gr%C3%BCndung,_Regierung_bei_Tschuikow.jpg|12.04.2015
M-112|http://upload.wikimedia.org/wikipedia/commons/1/16/Stalin_lg_zlx1.jpg|WEBIMAGE|Stalin||wikipedia|http://commons.wikimedia.org/wiki/File:Stalin_lg_zlx1.jpg|12.04.2015
M-113|http://upload.wikimedia.org/wikipedia/commons/9/9b/CroppedStalin1943.jpg|WEBIMAGE|Cropped Stalin 1943|U.S. Signal Corps photo|wikipedia|http://commons.wikimedia.org/wiki/File:CroppedStalin1943.jpg|12.04.2015
M-114|http://upload.wikimedia.org/wikipedia/commons/6/6a/Stamp_Germany_2003_MiNr2342_17._Juni.jpg|WEBIMAGE|Stamp Germany 2003|Ernst Jünger und Lorli Jünger|wikipedia|http://commons.wikimedia.org/wiki/File:Stamp_Germany_2003_MiNr2342_17._Juni.jpg|12.04.2015
M-115|http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Warsaw_Pact_Logo.svg/721px-Warsaw_Pact_Logo.svg.png|WEBIMAGE|Warsaw Pact Logo||wikipedia|http://commons.wikimedia.org/wiki/File:Warsaw_Pact_Logo.svg|12.04.2015
M-116|http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Wirtschaftserfolge-Kosmos02.jpg/1280px-Wirtschaftserfolge-Kosmos02.jpg|WEBIMAGE|Wirtschaftserfolge-Kosmos02||wikipedia|http://commons.wikimedia.org/wiki/File:Wirtschaftserfolge-Kosmos02.jpg|12.04.2015
M-117|http://upload.wikimedia.org/wikipedia/commons/4/4f/Bundesarchiv_Bild_183-88574-0004%2C_Berlin%2C_Mauerbau%2C_Bauarbeiten.jpg|WEBIMAGE|Mauerbau||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-88574-0004,_Berlin,_Mauerbau,_Bauarbeiten.jpg|12.04.2015
M-118|http://upload.wikimedia.org/wikipedia/commons/c/c0/Bundesarchiv_Bild_B_145_Bild-P061246.jpg|WEBIMAGE|Bundesarchiv Bild B 145 Bild-P061246||wikipedia|http://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_B_145_Bild-P061246.jpg|12.04.2015
M-119|http://upload.wikimedia.org/wikipedia/commons/2/20/GeraldHill-B.jpg|WEBIMAGE|GeraldHill-B||wikipedia|http://commons.wikimedia.org/wiki/File:GeraldHill-B.jpg|12.04.2015
M-120|http://upload.wikimedia.org/wikipedia/commons/c/cb/Pappas_Exh1-murder_Oswald-21-19.jpg|WEBIMAGE|Pappas Exh1-murder Oswald-21-19||wikipedia|http://commons.wikimedia.org/wiki/File:Pappas_Exh1-murder_Oswald-21-19.jpg|12.04.2015
M-121|http://upload.wikimedia.org/wikipedia/commons/1/1e/Honor_Guard_prepares_to_fold_flag_over_JFK_casket%2C_25_November_1963.jpg|WEBIMAGE|Honor Guard prepares to fold flag over JFK casket|Abbie Rowe|wikipedia|http://commons.wikimedia.org/wiki/File:Honor_Guard_prepares_to_fold_flag_over_JFK_casket,_25_November_1963.jpg|12.04.2015
M-122|http://upload.wikimedia.org/wikipedia/commons/transcoded/9/94/A11v_1092338.ogg/A11v_1092338.ogg.360p.webm|VIDEO|||wikipedia||12.04.2015
M-123|http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Apollo_11_Launch2.jpg/800px-Apollo_11_Launch2.jpg|WEBIMAGE|Apollo 11|NASA|wikipedia|http://commons.wikimedia.org/wiki/File:Apollo_11_Launch2.jpg|12.04.2015
