date|amount
01.01.1994|0
01.01.1995|21
01.01.1996|100
01.01.1997|200
01.01.1998|337
01.01.1999|463
01.01.2000|596
01.01.2001|706
01.01.2002|796
01.01.2003|1051
01.01.2004|1023
01.01.2005|1022
01.01.2006|1040
01.01.2007|1218
01.01.2008|1409
01.01.2009|1532
01.01.2010|1681
01.01.2011|1610
01.01.2012|1670
01.01.2013|1713
