date|amount
01.01.1994|0
01.01.1995|21
01.01.1996|100
01.01.1997|200
01.01.1998|337
01.01.1999|463
01.01.2000|596
01.01.2001|706
01.01.2007|2,786
01.01.2008|2,938
01.01.2009|3,676
01.01.2010|4,485
01.01.2011|4,447
01.01.2012|4,550
01.01.2013|4,034
