Medien|||||
|||||
ID|Dateiname|Beschreibung|Quellenangabe|Crop|Type
M161|EinladungPRObeneFIT2012.jpg|Einladung zum Kongress Herausforderung Unternehmertum 2012|Quelle: sdw|WAHR|IMAGE
M162|UT2012SchulteNoelle.jpg|Kongress 2012: Dr. Henning Schulte-Noelle, bis 2013 Vorstandsvorsitzender der Allianz SE|Quelle: Rolf Schulten|WAHR|IMAGE
M163|UT2012Nasko.jpg|Kongress 2012: Dr. Horst Nasko, stellvertretender Vorstandsvorsitzender der Heinz Nixdorf Stiftung|Quelle: Rolf Schulten|WAHR|IMAGE
M164|UT2012MurmannWieprecht.jpg|Kongress 2012: Dr. Sven Murmann, stellvertretender Vorstandsvorsitzender der sdw, im Gespräch mit Moderator Volker Wieprecht (radioeins)|Quelle: Rolf Schulten|WAHR|IMAGE
M165|UT2012Zugaro.jpg|Kongress 2012: Emilio Galli Zugaro, Leiter der Group Communications der Allianz SE|Quelle: Rolf Schulten|WAHR|IMAGE
M166|UT2012KleinKramerSchnoering.jpg|Kongress 2012: Dr. Bernd Klein, Geschäftsführer der Heinz Nixdorf Stiftung, Ingo Kramer, Vorstandsvorsitzender der sdw, Dr. Arndt Schnöring, Generalsekretär der sdw|Quelle: Rolf Schulten|WAHR|IMAGE
M167|UT2012ProjektteamHeHei.jpg|Kongress 2012: Stipendiaten-Team mit den Projektleiterinnen Oda Henckel (li.) und Luise Heidenreich (re.)|Quelle: Rolf Schulten|WAHR|IMAGE
M168|UniwiLogo1.jpg||Quelle: sdw|FALSCH|IMAGE
M169|AuftaktUniWi2012.jpg|Auftakt für Universum Wirtschaft: Begrüßung der Fellows durch Dagmar Ritter, Geschäftsführerin der Commerzbank-Stiftung, und sdw-Generalsekretär Dr. Arndt Schnöring|Quelle: photothek.net|WAHR|IMAGE
M170|//www.youtube.com/embed/naq-XESgacg|Werbefilm des Studienförderwerks Klaus Murmann für Fachhochschulen|Quelle: sdw|WAHR|YOUTUBE
M171|BPF2013Einladung.jpg|Einladung zum Bildungspolitischen Forum 2013|Quelle: sdw|FALSCH|IMAGE
M172|BPF2013ThielenKolat.jpg|Bildungspolitisches Forum 2013: Prof. Dr. Gunter Thielen, Vorstandsvorsitzender der Walter Blüchert Stiftung, und Dilek Kolat, Senatorin für Arbeit, Integration und Frauen in Berlin|Quelle: photothek.net|WAHR|IMAGE
M173|BPF2013Kramer.jpg|Bildungspolitisches Forum 2013: Ingo Kramer, Vorstandsvorsitzender der sdw|Quelle: photothek.net|WAHR|IMAGE
M174|BPF2013KloesAll.jpg|Bildungspolitisches Forum 2013: Dr. Hans-Peter Klös, Geschäftsführer und Leiter des Bereichs Bildungspolitik und Arbeitsmarktpolitik beim Institut der deutschen Wirtschaft Köln, und Prof. Dr. Jutta Allmendinger, Präsidentin des Wissenschaftszentrums Berlin für Sozialforschung sowie Kuratoriumsmitglied der sdw|Quelle: photothek.net|WAHR|IMAGE
M175|BPF2013Thielen.jpg|Bildungspolitisches Forum 2013: Prof. Dr. Gunter Thielen, Vorstandsvorsitzender der Walter Blüchert Stiftung und Kuratoriumsmitglied der sdw|Quelle: photothek.net|WAHR|IMAGE
M176|BPF2013FrBluechertBm.jpg|Bildungspolitisches Forum 2013: Christine Blüchert und Hans-Jürgen Brackmann, Vorstandsmitglied und ehemaliger Generalsekretär der sdw|Quelle: photothek.net|WAHR|IMAGE
M177|BPF2013AllThi.jpg|Bildungspolitisches Forum 2013: Prof. Dr. Jutta Allmendinger, Präsidentin des Wissenschaftszentrums Berlin für Sozialforschung, und Prof. Dr. Gunter Thielen, Vorstandsvorsitzender der Walter Blüchert Stiftung, beide Kuratoriumsmitglieder der sdw|Quelle: photothek.net|WAHR|IMAGE
M178|//www.youtube.com/embed/OReuh__leWs|Bildungsgerechtigkeit ist möglich: das Video zur Veranstaltung „2.000 Mal Zukunft“ im Studienkompass|Quelle: sdw|WAHR|YOUTUBE
M179|2mZ.jpg|„2.000 mal Zukunft“: Vogelperspektive in der Kulturbrauerei Berlin|Quelle: Rolf Schulten|WAHR|IMAGE
M180|PSeminareBayern.jpg|Startschuss für „Studien- und Berufsorientierung im Projektseminar – Erfolgsbausteine des Studienkompass für Bayern“ im September 2013 – in der Bildmitte Projektleiterin Saskia Wittmer-Gerber|Quelle: Maria Martin|WAHR|IMAGE
M181|LidL2013deMaiziere.jpg|Kongress Leadership in der Lehrerbildung 2013: Dr. Thomas de Maiziére, damaliger Bundesverteidigungsminister|Quelle: photothek.net|WAHR|IMAGE
M182|LidL2013dMBMRogall.jpg|Kongress Leadership in der Lehrerbildung 2013: Hans-Jürgen Brackmann, Dr. Thomas de Maiziére, Prof. Dr. Joachim Rogall|Quelle: photothek.net|WAHR|IMAGE
M183|LidL2013Huber.jpg|Kongress Leadership in der Lehrerbildung 2013: Prof. Dr. Stephan Gerhard Huber, Leiter des Instituts für Bildungsmanagement und Bildungsökonomie an der Pädagogischen Hochschule Zug (Schweiz)|Quelle: photothek.net|WAHR|IMAGE
M184|LidL2013Loehrmann.jpg|Kongress Leadership in der Lehrerbildung 2013: Sylvia Löhrmann, Ministerin für Schule und Weiterbildung des Landes Nordrhein-Westfalen|Quelle: photothek.net|WAHR|IMAGE
M185|LidL2013Musik.jpg|Kongress Leadership in der Lehrerbildung 2013: im wahren Sinne des Wortes sehr junge Musik|Quelle: photothek.net|WAHR|IMAGE
M186|LidL2013Rogall.jpg|Kongress Leadership in der Lehrerbildung 2013: Prof. Dr. Joachim Rogall, Geschäftsführer der Robert Bosch Stiftung|Quelle: photothek.net|WAHR|IMAGE
M187|LidL2013Teilnehmer2.jpg|Kongress Leadership in der Lehrerbildung 2013: angeregte Diskussion unter Schulleitern, Lehrkräften und weiteren Bildungsexperten|Quelle: photothek.net|WAHR|IMAGE
M188|LidL2013Teilnehmer.jpg|Kongress Leadership in der Lehrerbildung 2013: angeregte Diskussion unter Schulleitern, Lehrkräften und weiteren Bildungsexperten|Quelle: photothek.net|WAHR|IMAGE
M189|IngoKramer01.jpg|Ingo Kramer, Arbeitgeberpräsident und Vorstandsvorsitzender der sdw|Quelle: BDA|WAHR|IMAGE
M190|CoverLidL.jpg|Die Publikation „Leadership in der Lehrerbildung“|Quelle: sdw|FALSCH|IMAGE
M191|LogoAlumniVerein.jpg||Quelle: Alumni-Verein|FALSCH|IMAGE
M192|DrUlrikeMurmannKnuth.jpg|Dr. Ulrike Murmann-Knuth, stellvertretende Vorsitzende des Kuratoriums der sdw und Mitglied des Kuratoriums der Stiftung Studienförderwerk Klaus Murmann, bei einer Absolventenverabschiedung.|Quelle: Marek Kruszewski|WAHR|IMAGE
M193|//www.youtube.com/embed/K8bjMoNIvOM|Video des Studienkollegs zum Thema „Leadership in der Lehrerbildung“|Quelle: sdw|WAHR|YOUTUBE
M194|BraunGerhardF.jpg|Dr. Gerhard Braun, seit 2014 Kuratoriumsvorsitzender der sdw|Quelle: lvu.de|WAHR|IMAGE
M195|logovivorgb.jpg|Logo zum Projekt Vivo|Quelle: sdw|FALSCH|IMAGE
M196|vivoImage1.jpg|Imagebild Vivo|Quelle: shutterstock|WAHR|IMAGE
M197|vivoImage2.jpg|Imagebild Vivo|Quelle: shutterstock|WAHR|IMAGE
M198|DeutschlandersBenneterKannegiesser.jpg|deutschlanders-Podiumsdiskussion 2004: Klaus-Uwe Benneter (SPD) und Martin Kannegießer (Gesamtmetall)|Quelle: photothek.net|WAHR|IMAGE
M199|DeutschlandersGysi.jpg|deutschlanders-Podiumsdiskussion 2004: Gregor Gysi (PDS)|Quelle: photothek.net|WAHR|IMAGE
M200|Gruendungssatzung.jpg|Auszug aus der Satzung zur Gründung der sdw|Quelle: sdw.org|WAHR|IMAGE
M201|Teambildung.jpg|Teambildung wurde im Studienförderwerk Klaus Murmann schon immer groß geschrieben; hier eine Szene aus einem Outdoor-Training im Jahr 2002|Quelle: sdw|WAHR|IMAGE
M202|FußballDieterHundt.jpg|2003: Stipendiaten besuchen gemeinsam mit dem sdw-Kuratoriumsvorsitzenden und Arbeitgeberpräsidenten Dr. Dieter Hundt ein Bundesligaspiel des VfB Stuttgart|Quelle: sdw|WAHR|IMAGE
M203|FeAk04Behelmte.jpg|2004: Ferienakademie mit Stipendiaten im Kraftwerk Schwarze Pumpe von Vattenfall|Quelle: sdw|WAHR|IMAGE
M204|HochtiefHaende.jpg|2005: So sehen Lockerungsübungen in einem Moderationstraining aus.|Quelle: sdw|WAHR|IMAGE
M205|AkademieBesichtigungTUVRheinland.jpg|2007: Unternehmensbesichtigung bei der TÜV Rheinland Group|Quelle: photothek.net|WAHR|IMAGE
M206|Auswahlverfahren4erGruppeJury4.jpg|Bewerberinnen und Bewerber im Assessment Center 2008|Quelle: Dirk Mathesius|WAHR|IMAGE
M207|MartinBlessing3484.jpg|Martin Blessing, Vorstandsvorsitzender der Commerzbank AG, bei der Aufnahmeveranstaltung für die neuen Stipendiaten 2009|Quelle: Bernd Schoelzchen|WAHR|IMAGE
M208|OTTO5amKatalog.jpg|2010: Workshop zu Nachhaltigkeit und Unternehmertum mit der Otto Group|Quelle: Frederika Hoffmann|WAHR|IMAGE
M209|ExpeditionGesellschaftII.jpg|Stipendiaten diskutieren mit Dr. Ottmar Kayser, Director Corporate Social Responsibility der Deutsche Bank AG (2011)|Quelle: Harald Schnauder|WAHR|IMAGE
M210|HeadgrafikenGRUPPEv2.jpg|Sie gaben dem Imagefilm zur Werbung an Fachhochschulen im Jahr 2011 ihr Gesicht|Quelle: sdw|WAHR|IMAGE
M211|NMUN2.jpg|Stipendiaten beim National Model United Nations in New York im Jahr 2012|Quelle: sdw|WAHR|IMAGE
M212|RAF3211.jpg|Peer-Michael Dick, Hauptgeschäftsführer von Südwestmetall und stellv. Vorstandsvorsitzender der sdw, begrüßt im Jahr 2013 neue Stipendiaten|Quelle: Dominik Buschardt|WAHR|IMAGE
M213|vivo_lied.mp3,vivo_lied.ogg|"Grundschulkinder aus dem neuen sdw-Projekt ""Vivo - Bildung von Grund auf!"" haben ein Lied zum Projekt aufgenommen."|Quelle: sdw|FALSCH|AUDIO
M214|Ask_eV.jpg|||WAHR|IMAGE
